CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
576d73694905   productor           1.20%     607.9MiB / 3.823GiB   15.53%    3.08kB / 9.12kB   0B / 0B           2
86e5b18b605d   consumidor_mongo1   1.42%     29.51MiB / 3.823GiB   0.75%     44.1kB / 42.5kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   1.89%     29.53MiB / 3.823GiB   0.75%     46.7kB / 45.1kB   0B / 0B           8
18b601d476db   cliente_historico   0.42%     25.62MiB / 3.823GiB   0.65%     12.4kB / 4.96kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   2.37%     29.52MiB / 3.823GiB   0.75%     43.7kB / 41.3kB   0B / 0B           8
b5d110b43478   consumidor_redis1   13.81%    18.96MiB / 3.823GiB   0.48%     40kB / 46kB       0B / 0B           2
7056de128021   consumidor_mongo4   1.62%     29.7MiB / 3.823GiB    0.76%     58kB / 59.1kB     0B / 0B           8
16dcbc09ad82   cliente_atm         0.05%     23.62MiB / 3.823GiB   0.60%     15.5kB / 21.5kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   29.00%    18.93MiB / 3.823GiB   0.48%     38.5kB / 42.9kB   0B / 0B           2
ef37e428e834   consumidor_redis2   11.65%    18.95MiB / 3.823GiB   0.48%     39.8kB / 43.9kB   0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     16.6kB / 21.2kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   3.04%     19.24MiB / 3.823GiB   0.49%     48.6kB / 61.2kB   0B / 0B           8
ae4604f656f1   kafka_ui            209.52%   196.2MiB / 3.823GiB   5.01%     2.55kB / 126B     2.97MB / 98.3kB   24
2a9eaf369eb1   redis               2.84%     8.723MiB / 3.823GiB   0.22%     58.1kB / 25.4kB   0B / 0B           12
f3357cf3b0c3   mongodb             122.09%   123MiB / 3.823GiB     3.14%     39.5kB / 43.1kB   782kB / 0B        56
63164fef332b   kafka               182.16%   473.1MiB / 3.823GiB   12.09%    343kB / 303kB     643kB / 238kB     150
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           1.09%     609MiB / 3.823GiB     15.56%    4.92kB / 599kB    0B / 0B           2
86e5b18b605d   consumidor_mongo1   4.19%     29.52MiB / 3.823GiB   0.75%     46.6kB / 44.5kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   54.80%    30.81MiB / 3.823GiB   0.79%     234kB / 85.4kB    0B / 0B           8
18b601d476db   cliente_historico   0.10%     25.62MiB / 3.823GiB   0.65%     12.4kB / 4.96kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   4.00%     29.52MiB / 3.823GiB   0.75%     45.8kB / 43.1kB   0B / 0B           8
b5d110b43478   consumidor_redis1   30.37%    18.96MiB / 3.823GiB   0.48%     41.7kB / 47.6kB   0B / 0B           2
7056de128021   consumidor_mongo4   1.33%     29.7MiB / 3.823GiB    0.76%     59.8kB / 60.2kB   0B / 0B           8
16dcbc09ad82   cliente_atm         0.03%     23.62MiB / 3.823GiB   0.60%     16.8kB / 23.7kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   53.74%    20.14MiB / 3.823GiB   0.51%     249kB / 386kB     0B / 0B           2
ef37e428e834   consumidor_redis2   26.99%    18.95MiB / 3.823GiB   0.48%     41.5kB / 45.5kB   0B / 0B           2
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     20.2kB / 25.6kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   49.07%    20.04MiB / 3.823GiB   0.51%     231kB / 106kB     0B / 0B           2
ae4604f656f1   kafka_ui            82.75%    196.7MiB / 3.823GiB   5.03%     2.55kB / 126B     2.99MB / 98.3kB   24
2a9eaf369eb1   redis               18.17%    9.234MiB / 3.823GiB   0.24%     448kB / 106kB     0B / 0B           6
f3357cf3b0c3   mongodb             97.27%    135.4MiB / 3.823GiB   3.46%     106kB / 94.5kB    782kB / 0B        61
63164fef332b   kafka               139.88%   483.2MiB / 3.823GiB   12.35%    948kB / 946kB     643kB / 238kB     152
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
576d73694905   productor           25.24%    609.5MiB / 3.823GiB   15.57%    4.92kB / 599kB    0B / 0B           2
86e5b18b605d   consumidor_mongo1   2.63%     29.52MiB / 3.823GiB   0.75%     47.8kB / 45.8kB   0B / 0B           8
1b21dbf752e2   consumidor_mongo3   26.56%    30.84MiB / 3.823GiB   0.79%     267kB / 129kB     0B / 0B           8
18b601d476db   cliente_historico   6.38%     25.62MiB / 3.823GiB   0.65%     13.3kB / 5.21kB   0B / 0B           4
b426a63bf272   consumidor_mongo2   3.60%     29.52MiB / 3.823GiB   0.75%     47.6kB / 44.7kB   0B / 0B           8
b5d110b43478   consumidor_redis1   2.28%     18.96MiB / 3.823GiB   0.48%     42.8kB / 48.6kB   0B / 0B           2
7056de128021   consumidor_mongo4   68.75%    30.96MiB / 3.823GiB   0.79%     267kB / 128kB     0B / 0B           8
16dcbc09ad82   cliente_atm         0.67%     23.62MiB / 3.823GiB   0.60%     18.3kB / 26.2kB   0B / 0B           1
ff5686d65dba   consumidor_redis3   125.39%   20.46MiB / 3.823GiB   0.52%     435kB / 437kB     0B / 0B           2
ef37e428e834   consumidor_redis2   9.04%     19.27MiB / 3.823GiB   0.49%     42.9kB / 46.8kB   0B / 0B           8
bf51a6f6f6dc   sectorizador        0.00%     23.25MiB / 3.823GiB   0.59%     20.2kB / 25.6kB   0B / 0B           4
fe7132683f7a   consumidor_redis4   45.60%    20.24MiB / 3.823GiB   0.52%     393kB / 426kB     0B / 0B           2
ae4604f656f1   kafka_ui            132.55%   200.2MiB / 3.823GiB   5.12%     2.55kB / 126B     3.04MB / 98.3kB   24
2a9eaf369eb1   redis               29.94%    9.902MiB / 3.823GiB   0.25%     820kB / 179kB     0B / 0B           6
f3357cf3b0c3   mongodb             88.25%    149.7MiB / 3.823GiB   3.82%     194kB / 162kB     782kB / 0B        61
63164fef332b   kafka               173.97%   491MiB / 3.823GiB     12.54%    954kB / 1.23MB    643kB / 238kB     158
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
576d73694905   productor           0.43%     609.4MiB / 3.823GiB   15.57%    6.23kB / 1.19MB   0B / 0B          2
86e5b18b605d   consumidor_mongo1   17.67%    30.69MiB / 3.823GiB   0.78%     220kB / 235kB     0B / 0B          8
1b21dbf752e2   consumidor_mongo3   63.16%    31.78MiB / 3.823GiB   0.81%     667kB / 568kB     0B / 0B          8
18b601d476db   cliente_historico   0.21%     25.62MiB / 3.823GiB   0.65%     13.6kB / 5.28kB   0B / 0B          4
b426a63bf272   consumidor_mongo2   1.02%     29.53MiB / 3.823GiB   0.75%     50.9kB / 47.1kB   0B / 0B          8
b5d110b43478   consumidor_redis1   2.13%     20.53MiB / 3.823GiB   0.52%     199kB / 297kB     0B / 0B          7
7056de128021   consumidor_mongo4   93.89%    32.81MiB / 3.823GiB   0.84%     812kB / 563kB     0B / 0B          8
16dcbc09ad82   cliente_atm         0.02%     23.63MiB / 3.823GiB   0.60%     19.8kB / 28.4kB   0B / 0B          1
ff5686d65dba   consumidor_redis3   2.49%     20.62MiB / 3.823GiB   0.53%     666kB / 1.06MB    0B / 0B          2
ef37e428e834   consumidor_redis2   1.14%     18.95MiB / 3.823GiB   0.48%     45.4kB / 49.1kB   0B / 0B          2
bf51a6f6f6dc   sectorizador        0.00%     23.86MiB / 3.823GiB   0.61%     185kB / 187kB     0B / 0B          4
fe7132683f7a   consumidor_redis4   21.24%    20.26MiB / 3.823GiB   0.52%     836kB / 1.32MB    0B / 0B          2
ae4604f656f1   kafka_ui            118.48%   203.4MiB / 3.823GiB   5.20%     2.55kB / 126B     3.19MB / 217kB   24
2a9eaf369eb1   redis               1.83%     11.55MiB / 3.823GiB   0.30%     2.75MB / 580kB    0B / 0B          6
f3357cf3b0c3   mongodb             56.96%    91.23MiB / 3.823GiB   2.33%     1.25MB / 412kB    782kB / 0B       45
63164fef332b   kafka               197.35%   502.3MiB / 3.823GiB   12.83%    1.56MB / 2.69MB   643kB / 238kB    156
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
576d73694905   productor           27.57%    610.3MiB / 3.823GiB   15.59%    6.23kB / 1.19MB   0B / 0B          2
86e5b18b605d   consumidor_mongo1   1.05%     30.69MiB / 3.823GiB   0.78%     221kB / 237kB     0B / 0B          8
1b21dbf752e2   consumidor_mongo3   0.54%     31.81MiB / 3.823GiB   0.81%     738kB / 824kB     0B / 0B          8
18b601d476db   cliente_historico   0.16%     25.62MiB / 3.823GiB   0.65%     14.1kB / 5.54kB   0B / 0B          4
b426a63bf272   consumidor_mongo2   1.13%     29.53MiB / 3.823GiB   0.75%     52.8kB / 48.8kB   0B / 0B          8
b5d110b43478   consumidor_redis1   1.09%     19.7MiB / 3.823GiB    0.50%     200kB / 299kB     0B / 0B          2
