CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
530f4ddb2be4   kafka_ui            256.20%   147.1MiB / 3.823GiB   3.76%     2.34kB / 126B     59.6MB / 81.9kB   23
a904fd02bd23   mongodb             6.51%     222MiB / 3.823GiB     5.67%     23.1kB / 32.9kB   150MB / 0B        45
ceb0d2ea3b2c   redis               1.10%     23.23MiB / 3.823GiB   0.59%     32.5kB / 17kB     16.5MB / 0B       6
7ee7bfcd070a   kafka               216.89%   527.6MiB / 3.823GiB   13.48%    372kB / 255kB     70.3MB / 238kB    155
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           78.86%    1.141GiB / 3.823GiB   29.86%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   1.49%     21.27MiB / 3.823GiB   0.54%     37kB / 51.1kB     4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   0.80%     31.92MiB / 3.823GiB   0.82%     42.6kB / 50.1kB   4.35MB / 0B       8
52327ce982a8   consumidor_redis4   4.82%     19MiB / 3.823GiB      0.49%     36.6kB / 49.6kB   549kB / 0B        2
986f9a8d571d   cliente_atm         0.04%     28.41MiB / 3.823GiB   0.73%     12.6kB / 16.5kB   11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   15.45%    19.2MiB / 3.823GiB    0.49%     35.3kB / 46.1kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     41.01MiB / 3.823GiB   1.05%     13.2kB / 16.9kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   25.44%    18.95MiB / 3.823GiB   0.48%     37.6kB / 50.7kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   4.37%     33.41MiB / 3.823GiB   0.85%     42.8kB / 50.8kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   24.19%    32.02MiB / 3.823GiB   0.82%     42.9kB / 50.3kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   0.89%     32.88MiB / 3.823GiB   0.84%     44kB / 52.2kB     5.52MB / 0B       8
753b27d990ef   cliente_historico   0.12%     27.22MiB / 3.823GiB   0.70%     11.6kB / 4.7kB    7.18MB / 0B       4
530f4ddb2be4   kafka_ui            164.30%   151.9MiB / 3.823GiB   3.88%     2.34kB / 126B     62.3MB / 81.9kB   23
a904fd02bd23   mongodb             77.33%    91.86MiB / 3.823GiB   2.35%     23.9kB / 34.8kB   150MB / 0B        64
ceb0d2ea3b2c   redis               24.65%    23.31MiB / 3.823GiB   0.60%     33.8kB / 17.7kB   16.5MB / 0B       6
7ee7bfcd070a   kafka               223.09%   573.2MiB / 3.823GiB   14.64%    387kB / 272kB     70.4MB / 238kB    171
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
40ee97484aba   productor           157.58%   1.334GiB / 3.823GiB   34.89%    2.42kB / 823B     2.43MB / 0B       2
df9b3263d5c5   consumidor_redis2   13.10%    19.48MiB / 3.823GiB   0.50%     39.9kB / 54kB     4.46MB / 0B       2
6e85ac607f95   consumidor_mongo3   15.85%    30.02MiB / 3.823GiB   0.77%     46.2kB / 53.1kB   4.35MB / 0B       8
52327ce982a8   consumidor_redis4   72.83%    19.02MiB / 3.823GiB   0.49%     39.6kB / 52.5kB   549kB / 0B        2
986f9a8d571d   cliente_atm         0.03%     28.41MiB / 3.823GiB   0.73%     13.9kB / 18.8kB   11MB / 0B         1
c7e7fefd2ff5   consumidor_redis1   1.57%     19.18MiB / 3.823GiB   0.49%     38.3kB / 49.1kB   1.61MB / 0B       2
419d1a66ad25   sectorizador        0.00%     41.01MiB / 3.823GiB   1.05%     14.2kB / 18.5kB   23.9MB / 0B       4
287dc782ef1b   consumidor_redis3   1.64%     18.96MiB / 3.823GiB   0.48%     40.2kB / 53.2kB   36.9kB / 0B       2
b46a6a7a11f6   consumidor_mongo2   1.14%     29.75MiB / 3.823GiB   0.76%     46.4kB / 53.7kB   5.43MB / 0B       8
5efedfa0f876   consumidor_mongo4   1.23%     29.85MiB / 3.823GiB   0.76%     46.4kB / 53.2kB   4.49MB / 0B       8
82a1fb9fe702   consumidor_mongo1   15.33%    29.89MiB / 3.823GiB   0.76%     47.7kB / 55.3kB   5.52MB / 0B       8
753b27d990ef   cliente_historico   0.13%     27.21MiB / 3.823GiB   0.70%     12kB / 4.76kB     7.18MB / 0B       4
530f4ddb2be4   kafka_ui            235.84%   157.5MiB / 3.823GiB   4.02%     2.34kB / 126B     65.5MB / 98.3kB   22
a904fd02bd23   mongodb             150.92%   154.7MiB / 3.823GiB   3.95%     25kB / 38.3kB     150MB / 0B        60
ceb0d2ea3b2c   redis               1.78%     9.387MiB / 3.823GiB   0.24%     36.9kB / 19.6kB   16.5MB / 0B       6
7ee7bfcd070a   kafka               90.46%    559MiB / 3.823GiB     14.28%    408kB / 294kB     71.1MB / 238kB    127
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
40ee97484aba   productor           111.70%   1.554GiB / 3.823GiB   40.65%    2.42kB / 823B     2.43MB / 0B      2
df9b3263d5c5   consumidor_redis2   0.65%     19.48MiB / 3.823GiB   0.50%     42.2kB / 56.1kB   4.46MB / 0B      2
6e85ac607f95   consumidor_mongo3   7.77%     30.02MiB / 3.823GiB   0.77%     47.9kB / 54.9kB   4.35MB / 0B      8
52327ce982a8   consumidor_redis4   0.56%     19.02MiB / 3.823GiB   0.49%     41.9kB / 54.6kB   549kB / 0B       2
986f9a8d571d   cliente_atm         0.02%     28.42MiB / 3.823GiB   0.73%     15.2kB / 21.1kB   11MB / 0B        1
c7e7fefd2ff5   consumidor_redis1   0.57%     19.19MiB / 3.823GiB   0.49%     40.5kB / 51.2kB   1.61MB / 0B      2
419d1a66ad25   sectorizador        0.00%     24.57MiB / 3.823GiB   0.63%     15.1kB / 20.1kB   23.9MB / 0B      4
287dc782ef1b   consumidor_redis3   0.42%     18.96MiB / 3.823GiB   0.48%     42.4kB / 55.3kB   36.9kB / 0B      2
b46a6a7a11f6   consumidor_mongo2   0.47%     29.75MiB / 3.823GiB   0.76%     48.6kB / 55.7kB   5.43MB / 0B      8
5efedfa0f876   consumidor_mongo4   0.71%     29.86MiB / 3.823GiB   0.76%     49kB / 55.4kB     4.49MB / 0B      8
82a1fb9fe702   consumidor_mongo1   0.59%     29.9MiB / 3.823GiB    0.76%     49.8kB / 57.3kB   5.52MB / 0B      8
753b27d990ef   cliente_historico   0.12%     27.21MiB / 3.823GiB   0.70%     12.4kB / 4.96kB   7.18MB / 0B      4
530f4ddb2be4   kafka_ui            142.09%   161.6MiB / 3.823GiB   4.13%     2.34kB / 126B     69MB / 98.3kB    22
