CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
ab5a9941c874   cliente_atm         0.01%     23.67MiB / 3.823GiB   0.60%     23.2kB / 34.7kB   6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   9.93%     30.88MiB / 3.823GiB   0.79%     708kB / 695kB     4.11MB / 0B   8
7bd861cf08c1   sectorizador        54.65%    24.13MiB / 3.823GiB   0.62%     812kB / 799kB     6.38MB / 0B   4
8261e05d2b61   consumidor_redis2   0.76%     19.86MiB / 3.823GiB   0.51%     845kB / 1.33MB    1.54MB / 0B   2
f20a3e50fea2   consumidor_mongo2   0.75%     31.27MiB / 3.823GiB   0.80%     929kB / 1.03MB    3.71MB / 0B   8
d2244dc0c39f   consumidor_redis1   5.03%     19.93MiB / 3.823GiB   0.51%     655kB / 899kB     2.75MB / 0B   2
9f5359063416   kafka_ui            0.20%     288.5MiB / 3.823GiB   7.37%     45.2kB / 5.11kB   0B / 201kB    36
23ba0c1227d1   mongodb             1.33%     86.23MiB / 3.823GiB   2.20%     1.63MB / 481kB    0B / 0B       39
2410c119e440   redis               19.92%    11.44MiB / 3.823GiB   0.29%     2.93MB / 1.15MB   872kB / 0B    6
418757c50144   kafka               133.71%   425.2MiB / 3.823GiB   10.86%    1.38MB / 2.38MB   0B / 238kB    127
CONTAINER ID   NAME                CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
5c4b1b621068   productor           0.45%     212MiB / 3.823GiB     5.42%     7.45kB / 1.19MB   2.32MB / 0B   2
cced7653085d   cliente_historico   0.10%     25.63MiB / 3.823GiB   0.65%     14kB / 5.79kB     6.25MB / 0B   4
ab5a9941c874   cliente_atm         0.03%     23.67MiB / 3.823GiB   0.60%     24.6kB / 37kB     6.06MB / 0B   1
2e19e1c018bd   consumidor_mongo1   0.64%     31MiB / 3.823GiB      0.79%     914kB / 1.01MB    4.11MB / 0B   8
